english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
A backup is saved first	Vorher wird gesichert	Une sauvegarde est faite d'abord	먼저 백업합니다	Primero se guarda una copia					Prima viene fatto un backup	Um backup é salvo primeiro		Najpierw zapisywana jest kopia zapasowa
A confirmation prompt appeared — please confirm it to continue.	Eine Bestätigung ist aufgetaucht — bitte bestätigen, um fortzufahren.	Une demande de confirmation est apparue — confirmez pour continuer.	확인 창이 나타났습니다 — 계속하려면 확인하세요.	Apareció una confirmación — acéptala para continuar.					È comparsa una richiesta di conferma — confermala per continuare.	Apareceu um pedido de confirmação — confirme para continuar.		Pojawił się monit o potwierdzenie — potwierdź, aby kontynuować.
A full reset backs up your settings first as well.	Auch ein Full Reset sichert vorher deine Einstellungen.	Une réinitialisation complète sauvegarde aussi tes réglages d'abord.	전체 초기화도 먼저 설정을 백업합니다.	Un restablecimiento completo también guarda antes tus ajustes.					Anche un reset completo salva prima le impostazioni.	Uma redefinição completa também salva suas configurações antes.		Pełny reset również najpierw zapisuje kopię ustawień.
A helper from before the update is still running.	Ein Helper von vor dem Update läuft noch.	Un helper d'avant la mise à jour tourne encore.	업데이트 이전의 헬퍼가 아직 실행 중입니다.	Sigue activo un helper anterior a la actualización.					Un helper precedente all'aggiornamento è ancora attivo.	Um helper anterior à atualização ainda está em execução.		Helper sprzed aktualizacji nadal działa.
A safety backup is saved first	Vorher wird ein Sicherungs-Backup angelegt	Une sauvegarde de sécurité est faite d'abord	먼저 안전 백업을 저장합니다	Antes se guarda una copia de seguridad					Prima viene salvato un backup di sicurezza	Um backup de segurança é salvo primeiro		Najpierw zapisywana jest kopia bezpieczeństwa
A safety copy of your current settings is saved first, the Game Bar closes, the backup is written back, and the helper restarts. Reopen the Game Bar (Win+G) when it's done.	Zuerst wird der aktuelle Stand gesichert, dann schließt die Game Bar, das Backup wird zurückgeschrieben und der Helper startet neu. Danach die Game Bar mit Win+G wieder öffnen.	Une copie de vos réglages actuels est enregistrée, la Game Bar se ferme, le backup est réécrit et le helper redémarre. Rouvrez la Game Bar (Win+G) ensuite.	현재 설정을 먼저 백업하고 Game Bar를 닫은 뒤 백업을 되돌리고 헬퍼가 다시 시작합니다. 끝나면 Win+G로 Game Bar를 여세요.	Primero se guarda una copia de tus ajustes, se cierra la Game Bar, se escribe la copia y el helper se reinicia. Reabre la Game Bar (Win+G) al terminar.					Prima viene salvata una copia delle impostazioni attuali, la Game Bar si chiude, il backup viene ripristinato e l'helper si riavvia. Riapri la Game Bar (Win+G) quando ha finito.	Primeiro uma cópia de segurança das configurações atuais é salva, a Game Bar fecha, o backup é restaurado e o helper reinicia. Reabra a Game Bar (Win+G) quando terminar.		Najpierw zapisywana jest kopia bezpieczeństwa bieżących ustawień, Game Bar się zamyka, kopia zapasowa jest przywracana, a helper uruchamia się ponownie. Po zakończeniu otwórz Game Bar (Win+G).
Achievements	Errungenschaften	Succès	도전 과제	Logros					Obiettivi	Conquistas		Osiągnięcia
Steam friends	Steam-Freunde	Amis Steam	Steam 친구	Amigos de Steam					Amici Steam	Amigos do Steam		Znajomi Steam
{0} of {1} online	{0} von {1} online	{0} sur {1} en ligne	{1}명 중 {0}명 온라인	{0} de {1} en línea					{0} di {1} online	{0} de {1} online		{0} z {1} online
Steam is not running.	Steam läuft nicht.	Steam n'est pas lancé.	Steam이 실행 중이 아닙니다.	Steam no se está ejecutando.					Steam non è in esecuzione.	O Steam não está em execução.		Steam nie jest uruchomiony.
